layer,depth,province
232,-3543.55346679688,non-categ_mpas
233,-5490.43017578125,non-categ_mpas
234,-5852.66162109375,non-categ_mpas
235,-5914.50927734375,non-categ_mpas
236,-5934.0048828125,non-categ_mpas
237,-5376.85888671875,non-categ_mpas
238,-5395.99658203125,non-categ_mpas
239,-5274.0791015625,non-categ_mpas
240,-5571.490234375,non-categ_mpas
241,-5466.04736328125,non-categ_mpas
242,-5326.11474609375,non-categ_mpas
243,-5056.7001953125,non-categ_mpas
244,-4753.34765625,non-categ_mpas
245,-5476.0888671875,non-categ_mpas
246,-5597.361328125,non-categ_mpas
247,-5637.0439453125,non-categ_mpas
248,-4747.130859375,non-categ_mpas
249,-5171.94970703125,non-categ_mpas
250,-5351.99755859375,non-categ_mpas
251,-4838.8046875,non-categ_mpas
252,-3610.81201171875,non-categ_mpas
253,-4457.17626953125,non-categ_mpas
254,-5638.25732421875,non-categ_mpas
255,-5947.0546875,non-categ_mpas
256,-5812.83154296875,non-categ_mpas
257,-5783.90283203125,non-categ_mpas
258,-4878.40625,non-categ_mpas
259,-5149.4765625,non-categ_mpas
260,-5221.8740234375,non-categ_mpas
261,-5386.58544921875,non-categ_mpas
262,-5127.07177734375,non-categ_mpas
263,-5316.76611328125,non-categ_mpas
264,-5127.05908203125,non-categ_mpas
265,-4429.451171875,non-categ_mpas
266,-5013.85791015625,non-categ_mpas
267,-5577.87890625,non-categ_mpas
268,-5587.6953125,non-categ_mpas
269,-4853.810546875,non-categ_mpas
270,-5066.05517578125,non-categ_mpas
271,-5283.33203125,non-categ_mpas
272,-5357.22216796875,non-categ_mpas
273,-4681.5205078125,non-categ_mpas
274,-3834.37646484375,non-categ_mpas
275,-4815.4931640625,non-categ_mpas
276,-5881.42724609375,non-categ_mpas
277,-5717.818359375,non-categ_mpas
278,-5690.93115234375,non-categ_mpas
279,-5312.20263671875,non-categ_mpas
280,-4309.64892578125,non-categ_mpas
281,-5062.6435546875,non-categ_mpas
282,-5345.2158203125,non-categ_mpas
283,-5487.7275390625,non-categ_mpas
284,-5288.41162109375,non-categ_mpas
285,-5060.04736328125,non-categ_mpas
286,-5048.14599609375,non-categ_mpas
287,-4601.638671875,non-categ_mpas
288,-5340.751953125,non-categ_mpas
289,-5427.52392578125,non-categ_mpas
290,-5449.78173828125,non-categ_mpas
