layer,province
378,PEQD_Longhurst
379,PEQD_Longhurst
380,PEQD_Longhurst
381,PNEC_Longhurst
382,PNEC_Longhurst
383,PNEC_Longhurst
384,PNEC_Longhurst
385,PNEC_Longhurst
386,WARM_Longhurst
387,WARM_Longhurst
388,NPSW_Longhurst
389,NPSW_Longhurst
390,NPSW_Longhurst
391,NPSW_Longhurst
392,NPSW_Longhurst
393,NPSW_Longhurst
394,NPSW_Longhurst
395,NPSW_Longhurst
396,NPSW_Longhurst
397,NPSW_Longhurst
398,NPSW_Longhurst
399,NPSW_Longhurst
400,SPSG_Longhurst
401,PEQD_Longhurst
402,PEQD_Longhurst
403,PEQD_Longhurst
404,PEQD_Longhurst
405,PEQD_Longhurst
406,PNEC_Longhurst
407,PNEC_Longhurst
408,PNEC_Longhurst
409,PNEC_Longhurst
410,PNEC_Longhurst
411,PNEC_Longhurst
412,WARM_Longhurst
413,NPSW_Longhurst
414,NPSW_Longhurst
415,NPSW_Longhurst
416,NPSW_Longhurst
417,NPSW_Longhurst
418,NPSW_Longhurst
419,NPSW_Longhurst
420,NPSW_Longhurst
421,NPSW_Longhurst
422,NPSW_Longhurst
423,NPSW_Longhurst
424,NPSW_Longhurst
425,PEQD_Longhurst
426,PEQD_Longhurst
427,PEQD_Longhurst
428,PEQD_Longhurst
429,PEQD_Longhurst
430,PNEC_Longhurst
431,PNEC_Longhurst
432,PNEC_Longhurst
433,PNEC_Longhurst
434,PNEC_Longhurst
435,PNEC_Longhurst
436,PNEC_Longhurst
437,NPTG_Longhurst
438,NPSW_Longhurst
439,NPSW_Longhurst
440,NPSW_Longhurst
441,NPSW_Longhurst
442,NPSW_Longhurst
443,NPSW_Longhurst
444,NPSW_Longhurst
445,NPSW_Longhurst
446,NPSW_Longhurst
447,NPSW_Longhurst
448,NPSW_Longhurst
449,NPSW_Longhurst
450,PEQD_Longhurst
451,PEQD_Longhurst
452,PEQD_Longhurst
453,PEQD_Longhurst
454,PEQD_Longhurst
455,PEQD_Longhurst
456,PNEC_Longhurst
457,PNEC_Longhurst
458,PNEC_Longhurst
459,PNEC_Longhurst
460,PNEC_Longhurst
461,PNEC_Longhurst
462,PNEC_Longhurst
463,NPTG_Longhurst
464,NPSW_Longhurst
