layer,province
270682,12_GOODS
270683,12_GOODS
270684,12_GOODS
270685,12_GOODS
270686,12_GOODS
270687,12_GOODS
270688,12_GOODS
270689,12_GOODS
270690,12_GOODS
270691,12_GOODS
270692,12_GOODS
270693,12_GOODS
270694,12_GOODS
270695,12_GOODS
270696,12_GOODS
270697,12_GOODS
270698,11_GOODS
270699,11_GOODS
270700,11_GOODS
270701,11_GOODS
270702,11_GOODS
270703,12_GOODS
270704,12_GOODS
270705,12_GOODS
270706,12_GOODS
270707,12_GOODS
270708,12_GOODS
270709,12_GOODS
270710,12_GOODS
270711,12_GOODS
270712,12_GOODS
270713,12_GOODS
270714,12_GOODS
270715,12_GOODS
270716,12_GOODS
270717,12_GOODS
270718,12_GOODS
270719,12_GOODS
270720,12_GOODS
270721,12_GOODS
270722,12_GOODS
270723,12_GOODS
270724,12_GOODS
270725,11_GOODS
270726,11_GOODS
270727,11_GOODS
270728,11_GOODS
270729,11_GOODS
270730,11_GOODS
270731,12_GOODS
270732,12_GOODS
270733,12_GOODS
270734,12_GOODS
270735,12_GOODS
270736,12_GOODS
270737,12_GOODS
270738,12_GOODS
270739,12_GOODS
270740,12_GOODS
270741,12_GOODS
270742,12_GOODS
270743,12_GOODS
270744,12_GOODS
270745,12_GOODS
270746,12_GOODS
270747,12_GOODS
270748,12_GOODS
270749,12_GOODS
270750,12_GOODS
270751,12_GOODS
270752,12_GOODS
270753,11_GOODS
270754,11_GOODS
270755,11_GOODS
270756,11_GOODS
270757,11_GOODS
270758,12_GOODS
270759,12_GOODS
270760,12_GOODS
270761,12_GOODS
270762,12_GOODS
270763,12_GOODS
270764,12_GOODS
270765,12_GOODS
270766,12_GOODS
270767,12_GOODS
270768,12_GOODS
270769,12_GOODS
270770,12_GOODS
270771,12_GOODS
270772,12_GOODS
270773,12_GOODS
270774,12_GOODS
270775,12_GOODS
270776,12_GOODS
270777,12_GOODS
270778,12_GOODS
270779,12_GOODS
270780,12_GOODS
270781,11_GOODS
270782,11_GOODS
270783,11_GOODS
270784,11_GOODS
270785,11_GOODS
270786,11_GOODS
270787,12_GOODS
270788,12_GOODS
270789,12_GOODS
270790,12_GOODS
270791,12_GOODS
270792,12_GOODS
270793,12_GOODS
270794,12_GOODS
270795,12_GOODS
270796,12_GOODS
270797,12_GOODS
270798,12_GOODS
270799,12_GOODS
270800,12_GOODS
270801,12_GOODS
270802,12_GOODS
270803,12_GOODS
270804,12_GOODS
270805,12_GOODS
270806,12_GOODS
270807,12_GOODS
270808,12_GOODS
270809,12_GOODS
270810,11_GOODS
270811,11_GOODS
270812,11_GOODS
270813,11_GOODS
270814,11_GOODS
270815,12_GOODS
270816,12_GOODS
270817,12_GOODS
270818,12_GOODS
270819,12_GOODS
270820,12_GOODS
270821,12_GOODS
270822,12_GOODS
270823,12_GOODS
270824,12_GOODS
270825,12_GOODS
270826,12_GOODS
270827,12_GOODS
270828,12_GOODS
270829,12_GOODS
270830,12_GOODS
270831,12_GOODS
270832,12_GOODS
270833,12_GOODS
270834,12_GOODS
270835,12_GOODS
270836,12_GOODS
270837,12_GOODS
270838,12_GOODS
270839,11_GOODS
270840,11_GOODS
270841,11_GOODS
270842,11_GOODS
270843,11_GOODS
270844,11_GOODS
270845,12_GOODS
270846,12_GOODS
270847,12_GOODS
270848,12_GOODS
270849,12_GOODS
270850,12_GOODS
270851,12_GOODS
270852,12_GOODS
270853,12_GOODS
270854,12_GOODS
270855,12_GOODS
270856,12_GOODS
270857,12_GOODS
270858,12_GOODS
270859,12_GOODS
270860,12_GOODS
270861,12_GOODS
270862,12_GOODS
270863,12_GOODS
270864,12_GOODS
270865,12_GOODS
270866,12_GOODS
270867,12_GOODS
270868,12_GOODS
270869,11_GOODS
270870,11_GOODS
270871,11_GOODS
270872,11_GOODS
270873,11_GOODS
270874,12_GOODS
270875,12_GOODS
270876,12_GOODS
270877,12_GOODS
270878,12_GOODS
270879,12_GOODS
270880,12_GOODS
270881,12_GOODS
270882,12_GOODS
270883,12_GOODS
270884,12_GOODS
270885,12_GOODS
270886,12_GOODS
270887,12_GOODS
270888,12_GOODS
270889,12_GOODS
270890,12_GOODS
270891,12_GOODS
270892,12_GOODS
270893,12_GOODS
270894,12_GOODS
270895,12_GOODS
270896,12_GOODS
270897,12_GOODS
270898,12_GOODS
270899,11_GOODS
270900,11_GOODS
270901,11_GOODS
270902,11_GOODS
270903,11_GOODS
270904,11_GOODS
270905,12_GOODS
270906,12_GOODS
270907,12_GOODS
270908,12_GOODS
270909,12_GOODS
270910,12_GOODS
270911,12_GOODS
270912,12_GOODS
270913,12_GOODS
270914,12_GOODS
270915,12_GOODS
270916,12_GOODS
270917,12_GOODS
270918,12_GOODS
270919,12_GOODS
270920,12_GOODS
270921,12_GOODS
270922,12_GOODS
270923,12_GOODS
270924,12_GOODS
270925,12_GOODS
270926,12_GOODS
270927,12_GOODS
270928,12_GOODS
270929,12_GOODS
270930,11_GOODS
270931,11_GOODS
270932,11_GOODS
270933,11_GOODS
270934,11_GOODS
270935,12_GOODS
270936,12_GOODS
270937,12_GOODS
270938,12_GOODS
270939,12_GOODS
270940,12_GOODS
270941,12_GOODS
270942,12_GOODS
270943,12_GOODS
270944,12_GOODS
270945,12_GOODS
270946,12_GOODS
270947,12_GOODS
270948,12_GOODS
270949,12_GOODS
270950,12_GOODS
270951,12_GOODS
270952,12_GOODS
270953,12_GOODS
270954,12_GOODS
270955,12_GOODS
270956,12_GOODS
270957,12_GOODS
270958,12_GOODS
270959,12_GOODS
270960,12_GOODS
270961,11_GOODS
270962,11_GOODS
270963,11_GOODS
270964,11_GOODS
270965,11_GOODS
270966,11_GOODS
270967,12_GOODS
270968,12_GOODS
270969,12_GOODS
270970,12_GOODS
270971,12_GOODS
270972,12_GOODS
270973,12_GOODS
270974,12_GOODS
270975,12_GOODS
270976,12_GOODS
270977,12_GOODS
270978,12_GOODS
270979,12_GOODS
270980,12_GOODS
270981,12_GOODS
270982,12_GOODS
270983,12_GOODS
270984,12_GOODS
270985,12_GOODS
270986,12_GOODS
270987,12_GOODS
270988,12_GOODS
270989,12_GOODS
270990,12_GOODS
270991,12_GOODS
270992,12_GOODS
270993,10_GOODS
270994,11_GOODS
270995,11_GOODS
270996,11_GOODS
270997,11_GOODS
270998,11_GOODS
270999,11_GOODS
271000,12_GOODS
271001,12_GOODS
271002,12_GOODS
271003,12_GOODS
271004,12_GOODS
271005,12_GOODS
271006,12_GOODS
271007,12_GOODS
271008,12_GOODS
271009,12_GOODS
271010,12_GOODS
271011,12_GOODS
271012,12_GOODS
271013,12_GOODS
271014,12_GOODS
271015,12_GOODS
271016,12_GOODS
271017,12_GOODS
271018,12_GOODS
271019,12_GOODS
271020,12_GOODS
271021,12_GOODS
271022,12_GOODS
271023,12_GOODS
271024,12_GOODS
271025,12_GOODS
271026,12_GOODS
271027,10_GOODS
271028,11_GOODS
271029,11_GOODS
271030,11_GOODS
271031,11_GOODS
271032,11_GOODS
271033,11_GOODS
271034,11_GOODS
271035,12_GOODS
271036,12_GOODS
271037,12_GOODS
271038,12_GOODS
271039,12_GOODS
271040,12_GOODS
271041,12_GOODS
271042,12_GOODS
271043,12_GOODS
271044,12_GOODS
271045,12_GOODS
271046,12_GOODS
271047,12_GOODS
271048,12_GOODS
271049,12_GOODS
271050,12_GOODS
271051,12_GOODS
271052,12_GOODS
271053,12_GOODS
271054,12_GOODS
271055,12_GOODS
271056,12_GOODS
271057,12_GOODS
271058,12_GOODS
271059,12_GOODS
271060,12_GOODS
271061,10_GOODS
271062,10_GOODS
271063,11_GOODS
271064,11_GOODS
271065,11_GOODS
271066,11_GOODS
271067,11_GOODS
271068,11_GOODS
271069,12_GOODS
271070,12_GOODS
271071,12_GOODS
271072,12_GOODS
271073,12_GOODS
271074,12_GOODS
271075,12_GOODS
271076,12_GOODS
271077,12_GOODS
271078,12_GOODS
271079,12_GOODS
271080,12_GOODS
271081,12_GOODS
271082,12_GOODS
271083,12_GOODS
271084,12_GOODS
271085,12_GOODS
271086,12_GOODS
271087,12_GOODS
271088,12_GOODS
271089,12_GOODS
271090,12_GOODS
271091,12_GOODS
271092,12_GOODS
271093,12_GOODS
271094,12_GOODS
271095,12_GOODS
271096,10_GOODS
271097,10_GOODS
271098,11_GOODS
271099,11_GOODS
271100,11_GOODS
271101,11_GOODS
271102,11_GOODS
271103,11_GOODS
271104,11_GOODS
271105,12_GOODS
271106,12_GOODS
271107,12_GOODS
271108,12_GOODS
271109,12_GOODS
271110,12_GOODS
271111,12_GOODS
271112,12_GOODS
271113,12_GOODS
271114,12_GOODS
271115,12_GOODS
271116,12_GOODS
271117,12_GOODS
271118,12_GOODS
271119,12_GOODS
271120,12_GOODS
271121,12_GOODS
271122,12_GOODS
271123,12_GOODS
271124,12_GOODS
271125,12_GOODS
271126,12_GOODS
271127,12_GOODS
271128,12_GOODS
271129,12_GOODS
271130,12_GOODS
271131,12_GOODS
271132,10_GOODS
271133,10_GOODS
271134,10_GOODS
271135,11_GOODS
271136,11_GOODS
271137,11_GOODS
271138,11_GOODS
271139,11_GOODS
271140,11_GOODS
271141,11_GOODS
271142,12_GOODS
271143,12_GOODS
271144,12_GOODS
271145,12_GOODS
271146,12_GOODS
271147,12_GOODS
271148,12_GOODS
271149,12_GOODS
271150,12_GOODS
271151,12_GOODS
271152,12_GOODS
271153,12_GOODS
271154,12_GOODS
271155,12_GOODS
271156,12_GOODS
271157,12_GOODS
271158,12_GOODS
271159,12_GOODS
271160,12_GOODS
271161,12_GOODS
271162,12_GOODS
271163,12_GOODS
271164,12_GOODS
271165,12_GOODS
271166,12_GOODS
271167,12_GOODS
271168,12_GOODS
271169,12_GOODS
271170,10_GOODS
271171,10_GOODS
271172,10_GOODS
271173,10_GOODS
271174,11_GOODS
271175,11_GOODS
271176,11_GOODS
271177,11_GOODS
271178,11_GOODS
271179,11_GOODS
271180,11_GOODS
271181,11_GOODS
271182,12_GOODS
271183,12_GOODS
271184,12_GOODS
271185,12_GOODS
271186,12_GOODS
271187,12_GOODS
271188,12_GOODS
271189,12_GOODS
271190,12_GOODS
271191,12_GOODS
271192,12_GOODS
271193,12_GOODS
271194,12_GOODS
271195,12_GOODS
271196,12_GOODS
271197,12_GOODS
271198,12_GOODS
271199,12_GOODS
271200,12_GOODS
271201,12_GOODS
271202,12_GOODS
271203,12_GOODS
271204,12_GOODS
271205,12_GOODS
271206,12_GOODS
271207,10_GOODS
271208,10_GOODS
271209,10_GOODS
271210,10_GOODS
271211,10_GOODS
271212,11_GOODS
271213,11_GOODS
271214,11_GOODS
271215,11_GOODS
271216,11_GOODS
271217,11_GOODS
271218,11_GOODS
271219,11_GOODS
271220,11_GOODS
271221,12_GOODS
271222,12_GOODS
271223,12_GOODS
271224,12_GOODS
271225,12_GOODS
271226,12_GOODS
271227,12_GOODS
271228,12_GOODS
271229,12_GOODS
271230,12_GOODS
271231,12_GOODS
271232,12_GOODS
271233,12_GOODS
271234,12_GOODS
271235,12_GOODS
271236,12_GOODS
271237,12_GOODS
271238,12_GOODS
271239,12_GOODS
271240,12_GOODS
271241,12_GOODS
271242,12_GOODS
271243,12_GOODS
271244,10_GOODS
271245,10_GOODS
271246,10_GOODS
271247,10_GOODS
271248,10_GOODS
271249,10_GOODS
271250,11_GOODS
271251,11_GOODS
271252,11_GOODS
271253,11_GOODS
271254,11_GOODS
